,2020_zip_tot,2015_zip_tot,2010_zip_tot,pct_change_10_15,pct_change_15_20,pct_change_10_20,naive_10_15,naive_15_20,naive_10_20,IQR_10_15,IQR_15_20,IQR_10_20
10044,1132185723,777871568,493108246,0.09545142983369881,0.07795828614532785,0.0866696581109565,1,2,1,2,2,2
11230,1866392320,1091889631,817472578,0.05959795076254948,0.11317857595818648,0.08605788884297838,2,1,1,2,2,2
11104,717126292,449189847,315678764,0.07309189030071361,0.09807787927210287,0.0855129972347175,1,2,1,2,2,2
10027,3985320290,2752556877,1754770343,0.0942163584687088,0.07682563465146597,0.0854861697203162,1,2,2,2,2,2
11106,1453079325,853912071,645409378,0.05758571541413371,0.11218039209521868,0.08453957772116061,2,1,2,2,2,2
11228,925917943,502890182,413851759,0.03974219823610792,0.12984760320162936,0.0838589532889693,2,1,2,2,2,2
11210,1479013072,954123318,669226420,0.07351047467419325,0.09162506878808108,0.08252988215611956,1,2,2,2,2,2
11225,1429987655,724788123,648341615,0.022542655959689295,0.14557689032456067,0.08231291040923927,3,1,2,2,2,2
11214,1963772743,1121517733,890606514,0.047186549974303826,0.11855415807029179,0.08228225050078364,2,1,2,2,2,2
10039,643669945,454083019,294795110,0.09024222244446478,0.07227355165761118,0.08122056030562685,1,2,2,2,2,2
10032,2478452714,1748966736,1139265790,0.0895101953519708,0.07220991162932444,0.08082543931829456,1,2,2,2,2,2
10003,8742818803,5781496001,4020712034,0.07534408841754137,0.08623114162333878,0.08077390642062343,1,2,2,2,2,2
10029,3625867586,2597596189,1669909573,0.09238502210500288,0.06897625966431598,0.08061725649886187,1,2,2,2,2,2
11212,1630421989,987786822,750938257,0.05635963911862296,0.10542010517735911,0.0806114858632705,2,2,2,2,2,2
10461,2251803620,1422592739,1037624255,0.06514343398656841,0.09620047280642674,0.08056038051685821,2,2,2,2,2,2
10026,1260567905,787831894,582085362,0.06240321457914466,0.09856697051903596,0.08033378217562759,2,2,2,2,2,2
10069,1129265388,869419000,530041428,0.10403759485723652,0.053691260774964666,0.07857070480709849,1,3,2,2,2,2
